date,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H0,year,month,day
2010-01-01,13.2,13.14,11.83,9.49,8.63,7.12,4.06,1.0,8.4,9.11,10.18,13.56,18.02,15.02,12.58,10.18,9.81,18.79,22.7,30.06,27.3,23.93,33.49,31.06,2010,1,1
2010-01-02,23.0,17.45,19.12,12.76,10.19,11.99,15.65,23.5,28.9,37.12,41.82,44.69,47.0,41.15,39.25,34.95,37.26,46.84,56.49,56.05,45.5,39.32,43.0,41.07,2010,1,2
2010-01-03,39.44,31.98,30.0,27.07,19.18,17.51,17.03,21.0,28.23,35.01,40.0,44.18,47.21,41.55,36.54,33.2,26.53,44.6,56.85,57.75,49.66,39.67,43.55,39.34,2010,1,3
2010-01-04,37.15,33.47,28.0,21.29,16.92,28.0,36.43,59.47,59.73,62.1,62.74,62.65,62.51,59.92,56.0,49.67,54.4,71.11,78.77,64.46,50.73,43.9,46.58,43.38,2010,1,4
2010-01-05,37.9,38.11,29.99,28.91,27.0,29.56,40.94,55.0,55.5,57.1,57.0,58.0,57.0,56.17,56.28,53.54,56.19,67.2,62.0,55.0,49.5,45.88,42.68,41.85,2010,1,5
2010-01-06,48.52,39.62,41.25,37.12,32.5,39.5,51.69,56.9,56.95,49.75,52.31,68.16,66.19,61.24,59.7,54.63,51.0,66.99,75.0,56.9,43.56,40.5,56.36,58.98,2010,1,6
2010-01-07,40.0,38.02,34.99,33.65,32.0,32.82,39.1,52.65,59.0,62.66,61.1,62.86,63.0,70.8,66.4,55.75,60.12,77.44,70.0,59.95,54.0,48.0,46.47,43.94,2010,1,7
2010-01-08,47.96,49.02,37.0,33.61,32.96,33.31,54.9,66.26,75.0,78.09,61.45,59.26,57.0,61.4,49.01,48.0,49.66,63.08,55.63,47.15,41.49,34.99,36.04,54.9,2010,1,8
2010-01-09,30.04,28.0,46.16,27.53,25.0,22.0,30.24,33.0,37.0,42.99,46.59,46.76,47.66,45.0,43.6,40.06,45.0,55.29,51.61,48.0,48.77,39.93,43.24,43.05,2010,1,9
2010-01-10,66.0,63.19,56.18,18.0,0.01,0.01,1.0,0.01,20.99,30.0,44.65,46.93,46.6,44.86,39.99,35.57,39.5,47.93,54.0,49.18,45.62,43.0,43.0,38.1,2010,1,10
2010-01-11,59.43,45.93,36.09,31.0,30.91,30.9,37.31,57.04,70.5,71.5,71.0,70.04,68.75,84.48,81.52,61.45,72.69,89.0,80.66,63.5,49.99,43.66,66.19,62.92,2010,1,11
2010-01-12,63.2,67.27,61.85,55.0,53.02,60.29,75.0,102.12,143.28,195.56,179.58,158.11,93.99,75.17,66.11,66.2,65.66,83.73,101.25,72.77,64.15,42.0,61.1,54.69,2010,1,12
2010-01-13,44.96,46.4,45.88,35.01,34.28,37.11,53.05,66.18,63.92,61.46,62.36,63.88,66.46,65.15,63.6,57.65,58.29,67.01,72.13,71.03,67.5,43.5,51.67,47.0,2010,1,13
2010-01-14,44.09,45.18,41.19,33.5,32.21,40.9,51.47,65.25,65.58,66.2,66.19,66.17,65.29,63.08,62.03,57.23,61.11,69.0,87.96,69.99,66.19,55.59,55.53,50.62,2010,1,14
2010-01-15,47.73,47.78,42.75,32.99,32.0,39.84,48.96,65.0,65.17,64.82,66.18,66.0,62.93,62.13,57.95,50.41,53.8,63.02,67.44,66.99,60.95,50.77,53.06,53.86,2010,1,15
2010-01-16,42.56,40.74,37.56,34.01,31.76,29.8,29.2,27.67,36.67,43.0,45.34,46.0,43.0,39.59,37.93,34.87,34.3,44.8,53.12,39.93,34.2,37.0,47.03,47.08,2010,1,16
2010-01-17,41.78,40.17,30.91,17.0,14.79,12.31,11.93,14.0,21.25,32.99,40.0,40.5,38.0,34.94,30.0,27.0,27.67,38.68,41.11,43.0,43.71,42.65,45.21,42.73,2010,1,17
2010-01-18,32.01,31.0,26.44,19.15,19.0,26.21,40.2,61.53,60.21,59.99,59.3,59.12,57.34,54.93,50.91,48.33,52.8,62.07,68.27,54.75,47.8,43.54,47.91,42.31,2010,1,18
