datetime,open,high,low,close
2007-01-07,24.31,60.99,0.01,23.0
2007-01-14,13.0,54.14,0.01,24.0
2007-01-21,23.07,129.44,0.01,18.89
2007-01-28,16.69,117.9,9.18,39.0
2007-02-04,33.4,100.0,10.6,30.45
2007-02-11,23.91,102.2,5.51,25.0
2007-02-18,20.0,48.17,7.84,26.8
2007-02-25,19.97,48.26,5.95,22.16
2007-03-04,19.95,36.95,7.97,17.86
2007-03-11,15.87,44.01,7.97,21.92
2007-03-18,24.96,40.0,1.29,27.9
2007-03-25,22.66,54.6,9.18,25.0
2007-04-01,22.41,48.9,16.0,27.91
2007-04-08,27.9,53.11,18.87,28.92
2007-04-15,25.02,48.92,1.09,23.69
2007-04-22,21.64,49.91,6.0,23.91
2007-04-29,25.0,54.21,0.01,21.72
2007-05-06,14.05,50.25,5.06,25.77
2007-05-13,20.63,60.0,6.1,24.56
2007-05-20,20.62,200.0,8.18,25.0
2007-05-27,15.05,200.0,7.46,22.7
2007-06-03,14.93,71.08,6.01,16.98
2007-06-10,10.08,95.0,0.07,17.01
2007-06-17,8.91,64.6,1.07,16.09
2007-06-24,17.94,72.29,7.1,24.84
2007-07-01,16.99,58.83,7.15,25.99
2007-07-08,18.78,79.99,0.5,33.0
2007-07-15,25.24,83.19,7.12,24.6
2007-07-22,22.97,82.45,7.01,22.98
2007-07-29,16.35,50.22,4.95,20.3
2007-08-05,16.6,71.0,6.51,26.9
2007-08-12,21.03,52.53,4.08,24.96
2007-08-19,19.72,60.56,6.94,20.68
2007-08-26,8.08,71.85,6.02,26.05
2007-09-02,23.99,61.73,8.98,19.05
2007-09-09,15.4,58.2,8.09,27.0
2007-09-16,25.24,66.0,9.91,31.93
2007-09-23,20.0,63.6,11.08,29.5
2007-09-30,26.81,74.96,7.27,30.08
2007-10-07,28.43,95.01,14.08,38.9
2007-10-14,25.49,92.01,10.91,37.93
2007-10-21,24.73,99.99,10.7,43.0
2007-10-28,29.5,198.69,14.83,46.0
2007-11-04,37.0,200.0,10.74,37.8
2007-11-11,26.13,200.0,2.6,53.32
