,2007,2008,2009,2010,2011
H1,27.82,56.69,31.96,39.87,42.77
H2,24.47,49.28,28.18,37.04,39.57
H3,21.96,43.53,24.63,32.87,34.56
H4,18.34,36.32,19.95,27.72,28.59
H5,16.02,34.64,18.68,26.68,27.19
H6,21.45,41.97,22.95,30.84,33.07
H7,26.71,52.31,30.89,37.83,41.31
H8,39.66,71.02,40.9,47.06,58.3
H9,46.17,79.4,45.14,51.06,54.73
H10,53.69,89.02,48.96,55.12,57.3
H11,57.32,93.09,50.91,56.24,58.1
H12,60.44,98.86,53.28,57.7,59.24
H13,53.56,91.01,50.35,56.33,58.64
H14,50.56,86.57,47.66,53.38,55.55
H15,48.76,83.31,44.81,51.15,52.88
H16,45.7,76.91,41.17,48.03,50.37
H17,47.25,74.34,40.31,47.55,49.5
H18,56.72,79.14,44.58,51.2,54.13
H19,66.72,86.28,49.35,57.27,60.37
H20,54.66,84.24,48.35,55.25,60.18
H21,51.61,79.25,44.47,50.73,55.76
H22,39.86,71.26,39.68,46.83,50.82
H23,39.09,71.44,40.77,48.61,53.34
H24,34.14,64.86,36.72,44.82,48.64
