Trial,Learning Rate,Gamma,Shape Weight,Epsilon Decay,Validation Reward
0,3.595906120388276e-05,0.9502608550113295,0.732576388726635,0.9779319183122606,-514.2699465710127
1,0.00013451975042643466,0.9671475271056629,0.6850585012396241,0.827260211279668,-611.1302629553549
2,0.0017434745586622244,0.9103966214606961,0.9000089746016835,0.8329090954341667,-330.42310835440946
3,1.2793646180177365e-05,0.9762173725837849,0.07450484329599893,0.9949495158391254,-327.4425441474675
4,0.011174396363400714,0.8514534350881747,0.8844909055098693,0.8213898873689345,-421.4723039878435
5,0.001601573568802548,0.9321238166840974,0.26646843947074217,0.9439244035314986,-841.3268203362319
6,0.06961316021792527,0.9232225531320875,0.5856321906511364,0.9370776532035033,-276.17473234298274
0,0.09481901303071677,0.8723203296061063,0.6632718623769525,0.8038199336465426,-4658.70758125344
1,0.00039933938263029953,0.9047805758130044,0.844494999260186,0.8771044509366419,-4540.6042403653455
0,7.187754087024892e-07,0.0,0.042694619043784084,0.957392988149412,-4592.141876394049
0,1e-06,0.0,0.2727977007939344,0.99,10,-4875.185448690001
1,1e-06,0.0,0.020464747602431298,0.99,10,-4920.804744643333
2,1e-06,0.0,0.03587233719691052,0.99,10,-4817.991067716042
3,1e-06,0.0,0.29471776091914137,0.99,10,-4922.75703397806
4,1e-06,0.0,0.13198455259259304,0.99,25,-4665.255070997932
5,1e-06,0.0,0.0576078430585065,0.99,25,-4657.912429053492
0,1e-06,0.0,0.17020771876338933,0.99,10,-4911.425435233179
1,1e-06,0.0,0.2903302493117211,0.99,50,-4697.022184557836
2,1e-06,0.0,0.15666947587689484,0.99,25,-4638.861591836431
3,1e-06,0.0,0.24760741265097425,0.99,25,-4658.173313585392
4,1e-06,0.0,0.08374830800482287,0.99,10,-4943.236510006848
